Taxa	phe1	phe2	phe3
Ind1	223.7585496	88.29164095	47.40538302
Ind2	240.0252496	NA	49.01718302
Ind3	NA	97.47484095	48.92828302
Ind4	228.8022496	89.71424095	48.54428302
Ind5	250.1101496	114.0018409	NA
Ind6	239.5447496	114.0825409	NA
Ind7	245.3553496	102.2214409	48.69398302
Ind8	231.3138496	107.1111409	48.92828302
Ind9	Na	95.01804095	49.04538302
Ind10	250.9436496	110.6104409	49.91778302
Ind11	186.6533496	82.30194095	49.82058302
Ind12	253.2671496	107.9221409	48.81118302
Ind13	174.2680496	77.45734095	49.34198302
Ind14	232.8769496	104.7971409	48.62408302
Ind15	246.0444496	107.0396409	48.81118302
Ind16	277.0735496	128.1966409	50.33398302
Ind17	244.8089496	105.1791409	48.69398302
Ind18	249.1218496	102.4669409	49.37088302
Ind19	251.9841496	Na	49.51398302
Ind20	231.4346496	117.9981409	49.46838302
Ind21	247.1373496	109.9973409	50.09968302
Ind22	233.5212496	97.90164095	47.10848302
Ind23	259.7057496	118.1309409	49.86538302
Ind24	224.3731496	86.16154095	47.74668302
Ind25	215.9981496	89.97264095	49.02288302
Ind26	227.4649496	93.92084095	51.27118302
Ind27	228.9149496	95.09174095	50.45868302
Ind28	245.3871496	94.58304095	49.26218302
Ind29	273.6552496	123.6670409	51.46248302
Ind30	263.7195496	109.9323409	50.78968302
Ind31	240.7527496	100.5822409	47.82638302
Ind32	243.9416496	103.0045409	48.38478302
Ind33	254.2939496	111.8256109	50.26188302
Ind34	285.3335496	130.2635409	52.21358302
Ind35	256.2626496	119.0240409	48.94318302
Ind36	237.5918496	101.6377409	51.40078302
Ind37	218.4144496	90.90044095	50.11428302
Ind38	216.8195496	89.34284095	50.13968302
Ind39	227.4205496	94.75334095	51.95008302
Ind40	237.4349496	100.9698409	47.90618302
Ind41	253.6519496	112.3750409	51.04668302
Ind42	248.7265496	96.53424095	50.83128302
Ind43	246.6732496	94.54684095	50.53368302
Ind44	248.0721496	120.8094409	51.55348302
Ind45	260.8429496	117.6839409	52.89818302
Ind46	235.5827496	101.7127409	47.42758302
Ind47	255.7014496	126.6571409	52.95368302
Ind48	231.3791496	96.44824095	48.70388302
Ind49	220.0245496	94.44574095	50.13968302
Ind50	225.4691496	95.28044095	55.37108302
Ind51	258.6457496	95.25454095	49.80828302
Ind52	273.2864496	118.4750409	52.37308302
Ind53	275.6944496	112.4972409	51.59078302
Ind54	249.5787496	108.5435409	49.50148302
Ind55	245.6488496	109.3994409	49.98008302
Ind56	264.5893496	123.4003409	52.69218302
Ind57	284.5041496	138.8788409	54.12798302
Ind58	253.4303496	117.2390409	50.04978302
Ind59	258.8878496	118.1682409	52.37308302
Ind60	251.4878496	122.0918409	53.72048302
Ind61	227.9623496	96.06194095	52.34998302
Ind62	229.8264496	105.1502409	55.63648302
Ind63	246.6682496	108.9876409	48.80308302
