Taxa	Yield	PH	
Ind1	3.93081795	3.8424399003560445	
Ind2	-0.91218205	-9.783317344930735	
Ind3	0.33381795	9.82313310124	
Ind4	-3.8135906	7.062466482883615	
Ind5	-6.18968205	-2.475698159871178	
Ind6	4.22031795	8.435573520840794	
Ind7	-3.61968205	-5.251643514593233	
Ind8	-2.64718205	-0.9839083907574437	
Ind9	7.50331795	9.412582829845896	
Ind10	0.61381795	-0.4050361964269129	
Ind11	4.81431795	-9.72087508262775	
Ind12	4.61781795	0.0939386148134922	
Ind13	-6.99518205	4.931083891220492	
Ind14	4.68331795	5.364699518517114	
Ind15	-0.88868205	1.1290794755418219	
Ind16	7.79081795	-8.208342791626404	
Ind17	8.98681795	-3.192550799048613	
Ind18	2.15131795	0.4005808286204129	
Ind19	1.4899094	5.009370407458295	
Ind20	-1.4865906	4.082673326354696	
Ind21	10.32481795	-6.652366539413281	
Ind22	-6.3710906	-2.455871189045922	
Ind23	6.75431795	-6.2429423984643755	
Ind24	-2.85768205	-3.6395406668612607	
Ind25	6.52731795	-6.6673022758931495	
Ind26	2.67731795	1.541200841250701	
Ind27	2.65031795	-2.8054473883382673	
Ind28	0.20331795	-3.405221551080402	
Ind29	-0.97118205	1.1664837649021091	
Ind30	-1.38268205	-8.661342309340514	
Ind31	-1.68518205	7.499024276041133	
Ind32	8.39531795	-0.44786951292253363	
Ind33	4.07581795	8.109731036914141	
Ind34	-11.77468205	2.75656950218721	
Ind35	2.85231795	4.380237085854851	
Ind36	5.28781795	-0.5186059390904632	
Ind37	-6.09918205	3.2682397853546803	
Ind38	2.85481795	5.696726197275378	
Ind39	0.09931795	-0.4901911822341187	
Ind40	-8.31718205	7.8414509702717226	
Ind41	-8.01318205	1.4597175981735848	
Ind42	2.66431795	3.0364991982382605	
Ind43	3.01581795	-7.585579742432018	
Ind44	7.24881795	2.448353653261531	
Ind45	5.58631795	4.1659728721801415	
Ind46	-15.49218205	1.9703853418298536	
Ind47	7.46631795	-0.5599756863737682	
Ind48	4.02231795	-9.154619175583647	
Ind49	2.28731795	4.4841462381243264	
Ind50	-7.74368205	2.7998430524403606	
Ind51	1.44981795	2.4136446488809415	
Ind52	-2.25668205	7.7501113743637084	
Ind53	-8.31368205	7.322718424557898	
Ind54	3.78981795	-4.964689395238391	
Ind55	2.15531795	4.273886704086095	
Ind56	0.5454094	4.108416183186858	
Ind57	-1.94218205	2.0450395441813995	
Ind58	2.7084094	6.162580807532009	
Ind59	-3.30368205	-4.789199019811601	
Ind60	6.87331795	3.5860634242114298	
Ind61	-1.36518205	-3.6548136778800195	
Ind62	-4.75268205	-5.461012066429425	
Ind63	1.55231795	4.750286483969262	
Ind64	9.41431795	1.2544036484590304	
Ind65	3.67281795	-2.6520497502001277	
Ind66	8.48031795	-5.37686117744906	
Ind67	5.02181795	2.7377467800198563	
Ind68	-2.48468205	-1.2226148143289368	
Ind69	-0.36618205	8.756823959175463	
Ind70	3.42581795	-9.894795201058502	
Ind71	-5.06868205	-4.679766408529387	
Ind72	-3.26968205	-9.417066129534508	
Ind73	-9.93918205	1.3308642725559388	
Ind74	-7.47918205	8.493076331619665	
Ind75	-0.60918205	0.7958643460666597	
Ind76	-10.14718205	-3.6974891783810975	
Ind77	-1.93118205	8.053343793075793	
Ind78	4.35431795	-0.6770434090487001	
Ind79	-9.22568205	4.593807457479942	
Ind80	7.21531795	-3.8115602431949736	
Ind81	-8.40868205	-4.937857831332428	
Ind82	-2.70968205	-2.598747692903352	
Ind83	6.90531795	2.667682169167122	
Ind84	5.89731795	8.26938333332151	
Ind85	-5.28018205	4.743852128579762	
Ind86	1.34581795	2.34790910984575	
Ind87	-10.00468205	8.229733234978411	
Ind88	4.99681795	8.68012570379613	
Ind89	-4.33468205	-1.6493891218727637	
Ind90	-1.05568205	6.199607013308967	
Ind91	3.03031795	-1.977313907330755	
Ind92	-0.89018205	-0.09740549274403776	
Ind93	-3.80968205	2.080693880864061	
Ind94	-0.01468205	-8.055470331829525	
Ind95	5.96731795	-8.779291418970834	
Ind96	-4.89818205	-4.41914896008349	
Ind97	0.65131795	2.7709460213311736	
Ind98	2.40081795	7.598679894612701	
Ind99	-15.51568205	6.570444765956932	
Ind100	-0.93018205	-4.876458893391433	
Ind101	-1.5540906	7.18114750584089	
Ind102	-8.76768205	-7.202978252711059	
Ind103	-10.34268205	-8.472389793239184	
Ind104	-7.99868205	6.483094223831557	
Ind105	11.99081795	-7.69254293158742	
Ind106	-2.11868205	-2.1390135898971447	
Ind107	-1.28368205	0.9141764096172889	
Ind108	1.05181795	1.301729698660779	
Ind109	-2.26618205	-6.755913818467006	
Ind110	0.36981795	8.917178258269875	
Ind111	4.20331795	2.0156990544356397	
Ind112	5.08481795	-6.959878268188408	
Ind113	7.02281795	-0.1805895732432301	
Ind114	2.23381795	-3.119615153549411	
Ind115	0.22381795	-1.9421240623948073	
Ind116	-0.45168205	-4.244658873895193	
Ind117	1.99381795	3.564738386086283	
Ind118	4.72781795	2.9772887972115356	
Ind119	4.28981795	-7.354045043871018	
Ind120	3.73831795	8.87048713395961	
Ind121	12.36881795	-7.4689949969201646	
Ind122	2.36831795	-1.024449196193661	
Ind123	-0.4765906	4.020136755451773	
Ind124	10.67531795	1.5791937190202514	
Ind125	0.57881795	-6.949332914585642	
